Year,Burundi,Djibouti,Eritrea,Ethiopia,Kenya,Rwanda,Somalia,South Sudan,Sudan,Tanzania,Uganda
1960,2764258,86024,972547,21376693,7695307,3022294,2876331,2931559,8364489,9901419,7640973
1961,2835119,89390,995573,21906102,7987770,3106779,2952054,2976724,8634941,10187886,7862217
1962,2907943,93283,1019788,22465126,8299308,3186025,3030091,3024308,8919028,10487756,8092231
1963,2969841,97872,1045092,23051637,8627971,3258890,3110361,3072669,9218077,10799528,8333663
1964,3055650,103198,1071287,23666548,8973535,3334834,3192796,3129918,9531109,11127826,8586363
1965,3141367,109092,1098335,24310612,9338078,3423210,3277874,3189835,9858030,11470728,8849203
1966,3217960,115269,1124957,24952689,9717816,3521626,3365106,3236423,10197578,11827459,9122864
1967,3300690,121649,1152339,25620276,10111057,3629577,3454537,3277648,10550597,12200109,9408924
1968,3380387,128250,1181737,26337930,10518823,3744010,3546590,3321528,10917999,12602076,9708632
1969,3454590,136078,1212005,27072571,10939695,3861271,3641015,3365533,11298936,13036700,10014858
1970,3530432,145175,1243453,27829128,11368791,3980669,3738448,3409614,11695771,13492677,10321603
1971,3617289,155136,1276154,28600106,11788904,4100044,3837691,3468646,12105539,13971451,10618206
1972,3617128,166256,1309235,29374608,12206060,4220335,3939436,3542497,12527856,14479308,10885796
1973,3611991,178449,1342669,30166785,12634835,4345047,4045592,3627383,13049315,15010101,11144236
1974,3703590,192613,1375688,30957273,13070078,4474228,4151842,3723259,13580723,15561630,11424846
1975,3796612,209908,1408210,31723252,13511671,4607728,4257535,3821494,14064798,16138361,11725240
1976,3882626,230737,1443807,32534418,13957623,4745954,4365812,3921910,14569716,16736211,12037294
1977,3983582,254613,1482565,33167272,14428819,4888240,4484050,4024032,15086614,17352929,12359669
1978,4100338,280031,1522378,33734592,14934126,5035171,4814892,4127657,15695003,17976566,12692113
1979,4203530,304513,1563332,34238652,15460666,5189541,5449117,4232605,16355352,18592038,13002163
1980,4383706,325815,1605797,34428514,16018459,5353259,5936154,4339030,17058905,19189769,13275741
1981,4566014,343047,1649939,35304012,16601507,5527230,5982849,4447272,17780572,19784703,13556452
1982,4681390,356880,1695461,36701290,17206175,5711549,6003840,4557686,18486645,20398571,13873631
1983,4808528,369553,1736160,37740817,17846374,5905311,6198430,4661574,19109770,21079874,14221881
1984,4926465,384053,1771730,38735722,18514906,6107627,6428389,4750627,19546528,21779066,14607677
1985,5034042,402687,1807816,39842136,19201768,6317228,6693289,4834296,19905872,22501693,15023681
1986,5129414,426341,1845164,41037656,19901646,6531881,6974788,4921240,20288238,23258959,15467579
1987,5247787,454399,1888669,42460039,20616096,6749493,7228302,4962395,20704904,24030378,15954170
1988,5365327,484523,1938255,44150825,21356219,6968071,7235360,4848029,21138431,24769686,16470483
1989,5471706,523355,1987017,45879690,22118434,7184706,7114817,4713229,21578022,25438759,17010698
1990,5587052,579538,2032737,47609755,22892651,7375307,7082811,4737633,22021481,26110207,17569897
1991,5703857,631092,1919571,49717198,23646514,7526966,6813760,4836677,22470676,26780436,18155901
1992,5858407,626010,1798748,51853747,24382460,7683266,6495107,4909749,22927355,27457588,18785032
1993,5676843,614245,1856006,53708891,25117188,7981132,6681399,4956002,23445592,28332692,19445161
1994,5713854,626710,1913915,55611508,25857130,6792352,7026797,5071184,24043948,29442356,20108801
1995,6066316,633074,2025267,57537335,26601751,5674118,7285007,5225836,24672143,30383497,20665667
1996,6070506,648348,2128464,59467635,27344211,6708764,7554474,5356925,25231528,30945762,21231550
1997,6070042,671817,2152135,61404539,28101768,7755238,7824525,5509136,25799821,31578089,21856046
1998,6187108,699352,2180419,63363524,28888057,8081681,8155417,5620068,26458999,32420458,22515806
1999,6337155,724218,2212780,65374561,29733408,8147912,8492059,5771628,27130613,33300330,23257281
2000,6470194,747318,2247031,67411494,30642890,8213931,8838713,6032267,27816745,34260139,24000150
2001,6634365,771313,2312079,69487762,31619170,8287094,9198493,6308391,28516770,35198299,24745676
2002,6824132,795574,2392978,71635517,32629808,8400180,9550063,6596806,29228727,36121304,25532870
2003,7043154,813519,2493903,73832663,33652223,8586875,9909157,6903127,29896035,37089555,26352124
2004,7310656,826124,2598284,76077206,34713455,8816844,10280998,7233041,30556637,38109668,27154515
2005,7587299,839167,2661215,78367470,35796484,9054528,10644228,7590143,31262444,39182076,27963289
2006,7865547,855764,2703502,80703490,36904008,9299246,10975502,7976526,31992435,40294902,28794003
2007,8161874,874528,2743222,83103217,38036349,9549933,11322582,8388788,32764135,41435512,29653430
2008,8505637,892734,2816327,85543668,39206351,9804269,11663084,8817647,33623980,42570728,30539553
2009,8947646,911527,2887885,88007636,40408891,10060432,11961201,9243556,34569113,43633982,31451151
2010,9376444,930251,2945186,90538514,41598567,10317553,12261756,9745953,35414399,44758488,32390802
2011,9717978,948558,2998485,93149970,42758461,10573733,12348830,10288109,36140806,46029367,33354543
2012,10071028,966747,3036988,95798767,43888303,10829901,12461160,10756240,36923178,47374260,34337438
2013,10439341,984824,3074360,98438751,44986791,11093340,12869594,11166275,37785849,48824128,35337042
2014,10799785,1002717,3095173,101115610,46051440,11364757,13339491,11235073,38823318,50351512,36395539
2015,11047580,1020313,3105546,103867135,47088526,11640022,13806963,11107561,40024431,52020962,37531446
2016,11239451,1037653,3124698,106718162,48139687,11919183,14348740,10830102,41259892,53824013,38799152
2017,11506762,1054841,3150347,109666481,49197766,12202060,14916629,10259154,42714306,55652890,40177388
2018,11859446,1071882,3192760,112664152,50207107,12487996,15452487,10122977,44230596,57437145,41565831
2019,12255336,1088709,3240194,115737383,51202827,12776103,16030971,10423384,45548175,59174891,42999637
2020,12617036,1105188,3291271,118917671,52217334,13065837,16651191,10698467,46789231,60972798,44457152
2021,12965481,1121248,3350183,122138588,53219166,13355260,17271431,10865780,48066924,62830412,45910930
2022,13321097,1137096,3409447,125384287,54252461,13651030,17801897,11021177,49383346,64711821,47312719
2023,13689450,1152944,3470390,128691692,55339003,13954471,18358615,11483374,50042791,66617606,48656601
2024,14047786,1168722,3535603,132059767,56432944,14256567,19009151,11943408,50448963,68560157,50015092
