Date,ABCO Systems,Ablin Law,ACES,Administrative Support,Alpine Animal Chiropractic,Anne Craft,Ashby & Gabriel,AspireSales,Burnham Law ,ChiroPro,Coastal Shutter,CS,eLearning,Elevate Law,Estate Plan Design Center,Eyestone Law ,Female Founded,Finance,Flow State Solar,Garfinkel Schwartz,Holly Corcoran,Hotchkiss Law,Howard Law,HR,IB LAW,InSearchX,"Katrina S. Jones, P.C",KRV Legal,Kuno Creative,Kuno Creative Group,MAGWV,Management,Marketing,Martin Law,North American Thrombosis Forum,Odell Family Law,Oh Marketing Group,Paramount,Paramount Capital Group,Parsons Law,Parsons Law ,Project Management Office,Prosperity Financial Accounting,R.A. Brown LG,Ray Of Justice,"Ryan J. Bourlier, CPA, LLC",Sales,Sales Xceleration,Sequoia,Simple Profit,SoCalSafetyNet,Tax Path,Technology,WAW - Gen,Wilensky & Jones
Jul-24,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Aug-24,0,0,2,0,0,1,8,0,1,0,0,11,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0
Sep-24,0,0,2,0,0,1,9,0,2,0,1,16,36,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,1,1,1
Oct-24,2,0,2,0,2,1,9,0,2,0,1,19,38,0,1,1,0,0,2,1,0,0,1,4,1,0,1,0,0,0,1,1,1,15,3,0,1,0,0,1,1,2,0,1,0,0,0,3,0,0,0,0,1,1,2
Nov-24,3,0,4,0,6,1,11,0,2,0,1,26,40,0,1,2,0,0,2,1,0,0,1,4,1,0,1,1,1,2,2,1,2,15,11,0,1,0,0,1,1,2,1,1,4,0,0,3,0,1,0,0,1,1,2
Dec-24,3,0,4,0,6,1,11,2,4,2,1,28,41,0,1,2,0,0,2,2,0,1,1,4,1,0,1,1,1,2,2,1,2,15,13,0,1,0,13,1,1,2,1,1,4,3,0,4,0,1,0,0,1,9,2
Jan-25,3,6,4,1,6,1,14,2,4,2,1,38,45,0,2,2,0,0,2,2,0,1,1,4,1,0,1,1,1,2,4,1,2,15,13,0,1,0,17,1,1,3,1,1,4,5,0,4,1,2,0,1,1,9,2
Feb-25,3,6,4,1,6,1,14,2,4,2,1,44,46,5,2,2,0,1,2,2,0,1,1,8,1,2,1,1,1,2,4,1,2,15,13,0,1,0,17,1,1,6,1,1,4,5,0,4,1,2,0,1,2,9,2
Mar-25,3,6,4,1,6,1,14,2,4,2,1,45,49,6,2,2,0,7,2,2,1,1,1,9,1,2,1,1,1,2,4,1,2,15,13,0,1,1,17,1,1,6,1,1,4,5,1,4,1,3,0,1,2,9,2
Apr-25,3,6,6,1,6,1,15,2,4,2,1,47,51,7,2,2,1,7,2,2,1,1,1,11,1,2,1,1,1,2,4,2,2,15,13,3,1,1,17,1,1,8,1,1,4,6,1,4,1,3,4,1,2,9,2
May-25,3,6,6,1,6,1,15,2,4,2,1,48,51,7,2,2,2,7,2,2,1,1,1,11,1,2,1,1,1,2,4,2,2,15,13,3,1,1,17,1,1,8,1,1,4,6,1,4,1,3,4,1,3,9,2
